hex_id,count,Avg_stop_dur
8a28de12122ffff,1,552.0
8a28de12124ffff,1,231.0
8a28de12125ffff,1,243.0
8a28de121277fff,1,380.0
8a28de121357fff,1,388.0
8a28de121377fff,1,531.0
8a28de121a37fff,7,308.85714285714283
8a28de121a47fff,1,203.0
8a28de121a57fff,2,618.0
8a28de121a67fff,1,558.063
8a28de121acffff,1,203.0
8a28de121ad7fff,1,196.0
8a28de121adffff,1,930.187
8a28de121b0ffff,1,353.0
8a28de125247fff,2,1838.627
8a28de12525ffff,1,106.127
8a28de125a07fff,1,345.063
8a28de125a0ffff,1,249.0
8a28de125a47fff,2,613.5315
8a28de125a5ffff,2,1011.5315
8a28de125a6ffff,1,253.0
8a28de125a77fff,1,257.0
8a28de125b67fff,1,332.127
8a28de12c06ffff,1,409.0
8a28de12c0d7fff,1,621.063
8a28de12c0dffff,1,298.0
8a28de12c107fff,1,320.0
8a28de12c147fff,1,184.06
8a28de12c16ffff,1,872.063
8a28de12c217fff,1,238.936
8a28de12c237fff,2,184.5315
8a28de12c267fff,4,302.01575
8a28de12c31ffff,1,486.0
8a28de12c337fff,2,497.563
8a28de12c35ffff,2,283.5
8a28de12c38ffff,3,352.6666666666667
8a28de12c39ffff,1,1035.063
8a28de12c3a7fff,1,305.0
8a28de12c46ffff,1,190.0
8a28de12c48ffff,1,2765.063
8a28de12c49ffff,1,1069.063
8a28de12c527fff,2,479.5315
8a28de12c58ffff,5,351.0
8a28de12c5affff,1,325.0
8a28de12c707fff,1,225.0
8a28de12c717fff,1,269.063
8a28de12c727fff,1,242.0
8a28de12c72ffff,1,204.0
8a28de12c777fff,3,462.6666666666667
8a28de12c80ffff,1,233.0
8a28de12c81ffff,1,531.063
8a28de12c82ffff,1,399.0
8a28de12c857fff,1,483.063
8a28de12c85ffff,1,205.0
8a28de12c867fff,1,270.0
8a28de12c88ffff,1,209.0
8a28de12c897fff,1,456.063
8a28de12c8affff,1,320.0
8a28de12c8b7fff,1,1123.127
8a28de12c8c7fff,3,604.0633333333334
8a28de12c8e7fff,1,278.063
8a28de12c8effff,3,489.6876666666667
8a28de12c8f7fff,4,280.31350000000003
8a28de12c917fff,1,540.127
8a28de12c937fff,1,223.0
8a28de12c94ffff,1,168.0
8a28de12c957fff,1,230.0
8a28de12c95ffff,2,172.5635
8a28de12c997fff,1,67.063
8a28de12c9affff,1,169.0
8a28de12ca07fff,1,250.0
8a28de12ca0ffff,1,175.187
8a28de12ca17fff,1,214.0
8a28de12ca2ffff,6,523.8753333333334
8a28de12ca37fff,1,231.0
8a28de12ca57fff,1,495.063
8a28de12ca6ffff,1,181.0
8a28de12ca8ffff,1,137.063
8a28de12ca9ffff,1,316.0
8a28de12caaffff,1,272.063
8a28de12cacffff,1,251.0
8a28de12cb0ffff,2,403.0635
8a28de12cb47fff,9,343.31233333333336
8a28de12cb57fff,1,199.0
8a28de12cb5ffff,1,200.0
8a28de12cb67fff,2,352.5
8a28de12cb6ffff,2,445.0
8a28de12cb77fff,1,191.063
8a28de12cba7fff,1,1687.063
8a28de12cbb7fff,1,2093.063
8a28de12cc07fff,1,618.0
8a28de12cc27fff,1,234.063
8a28de12cc8ffff,2,339.0
8a28de12cc97fff,1,1604.0
8a28de12ccb7fff,1,144.063
8a28de12cd17fff,2,470.5
8a28de12cd1ffff,1,271.063
8a28de12cd2ffff,3,221.66666666666666
8a28de12cd37fff,4,210.5
8a28de12cd5ffff,6,1158.0838333333334
8a28de12cd77fff,1,229.0
8a28de12cd97fff,6,1105.5420000000001
8a28de12cd9ffff,6,1317.5525
8a28de12cda7fff,2,199.5
8a28de12cdb7fff,1,262.0
8a28de12d907fff,1,101.0
8a28de12d917fff,2,234.5
8a28de12d927fff,1,197.063
8a28de12d977fff,1,232.0
8a28de12dd07fff,4,293.76575
8a28de12dd17fff,1,210.0
8a28de12e86ffff,1,2304.063
8a28de166c9ffff,1,426.0
8a28de889027fff,1,250.0
8a28de88902ffff,1,599.0
8a28de88905ffff,1,255.0
8a28de889087fff,1,363.0
8a28de8890a7fff,1,539.0
8a28de889107fff,1,928.063
8a28de88912ffff,2,337.0
8a28de8891a7fff,1,400.0
8a28de8891b7fff,1,211.127
8a28de88921ffff,4,199.01575
8a28de88925ffff,3,415.042
